Item Name,Unit,Price,Quantity,Amount,Created
Lettuce Lolorosa Red,kg,80,0.6,48,2-2-2023
Lettuce,kg,50,3,150,2-2-2023
Basil,box,180,1,180,2-2-2023
Pokchoy,kg,60,1,60,2-2-2023
Iceberg,kg,40,10,400,2-2-2023
Celery,kg,50,1,50,2-2-2023
Asparagus,kg,1400,1,1400,2-2-2023
Tomato Red Cherry,box,18,10,180,2-2-2023
Rocket Leaf,box,50,8,400,2-2-2023
Bee Cause Ginger Honey 250Gm,jar,150,12,1890,2-2-2023
Bee Cause Good Sleep Honey 250Gm,jar,179,12,2255.4,2-2-2023
Bee Cause Honey 1Kg,jar,380,12,4788,2-2-2023
Bee Cause Multi Raw Gold Honey 330Gm,jar,164,12,2066.4,2-2-2023
Bee Cause Multi Raw Gold Honey 500Gm,jar,234,12,2948.4,2-2-2023
Brown Bread,Slice,7.142,14,99.988,2-3-2023
Happy Banana,kg,52,15,780,2-3-2023
Dairy Naturals Cow Milk,pkt,41.5,6,249,2-3-2023
Doozy Dahi,jar,43,5,215,2-3-2023
Doozy Desi Cow Milk,pkt,31.5,6,189,2-3-2023
Doozy Farms Paneer,pkt,74.25,12,891,2-3-2023
Dairy Naturals Cow Milk,pkt,41.5,4,166,2-3-2023
Doozy Dahi,jar,43,4,172,2-3-2023
Doozy Desi Cow Milk,pkt,31.5,4,126,2-3-2023
Doozy Farms Paneer,pkt,74.25,6,445.5,2-3-2023
Asparagus,kg,1400,0.5,700,2-3-2023
Basil Italian,kg,230,1,230,2-3-2023
Zuchchini Yellow,kg,150,5,750,2-3-2023
Happy Banana,kg,52,15,0,2-3-2023
Happy Banana,kg,52,15,780,2-3-2023
Brown Bread,Slice,7.86,42,330.12,2-3-2023
Carrot,kg,24,10,240,2-3-2023
Green Peas,kg,40,10,400,2-3-2023
Broccoli,kg,40,10,400,2-3-2023
Papaya,kg,40,15,600,2-3-2023
Beans French,kg,50,8,400,2-3-2023
Brinjal Black Big,kg,20,10,200,2-3-2023
Brinjal Black Round,kg,30,5,150,2-3-2023
Potato,kg,8,168,1344,2-3-2023
Red Globe,kg,387.1,6.2,2400.02,2-3-2023
Cauliflower,kg,20,10,200,2-3-2023
Mint,kg,75,2,150,2-3-2023
Mushroom,box,32,30,960,2-3-2023
Onion,kg,18,90,1620,2-3-2023
Blueberry,box,200,12,2400,2-3-2023
Apple Pink Lady,kg,170,10,1700,2-3-2023
Cucumber White,kg,50,22,1100,2-3-2023
Pomegranate,kg,166.67,12,2000.04,2-3-2023
Coriander,kg,20,3,60,2-3-2023
Asparagus,kg,1000,0.4,400,2-3-2023
Orange Valencia,kg,105.63,14.2,1499.946,2-3-2023
Apple Chinese Fuji,kg,280,10,2800,2-3-2023
Mosambi,kg,61.86,19.4,1200.084,2-3-2023
Palak,kg,15,10,150,2-3-2023
Methi,Bunch,10,10,100,2-3-2023
Lemon,kg,80,5,400,2-3-2023
Tendor Coconut,pc,37.5,40,1500,2-3-2023
Local Guava,kg,47.62,21,1000.02,2-3-2023
Pineapple Rani,pc,75,10,750,2-3-2023
Red Potato,kg,12,108,1296,2-3-2023
Avocado Newzeland,pc,357.14,21,7499.94,2-3-2023
Saag,Bunch,14,10,140,2-3-2023
Kiwi Green 3Pc,box,94.44,18,1699.92,2-3-2023
THAI GUAVA PINK,kg,115,10,1150,2-3-2023
KASHMIR APPLE,kg,138.3,9.4,1300.02,2-3-2023
Strawberry Fresh,box,45,200,9000,2-4-2023
Capsicum Red,kg,100,30,3000,2-4-2023
Capsicum Yellow,kg,100,28,2800,2-4-2023
Brown Bread,Slice,7.142,14,99.988,2-4-2023
EPIGAMIA GREEK YOGURT BANANA 110GM,jar,60.95,4,255.99,2-4-2023
Epigamia Greek Yogurt Mango 90Gm,box,41.9,4,175.98,2-4-2023
Epigamia Greek Yogurt Natural 90Gms,box,41.9,2,87.99,2-4-2023
Epigamia Greek Yogurt Smoothi Mulberry,btl,60.95,2,127.99,2-4-2023
Epigamia Greek Yogurt Strawberry 90Gm,box,41.9,4,175.98,2-4-2023
Epigamia Greek Yogurt Strawberry Smoothie,btl,60.95,2,127.99,2-4-2023
Dairy Naturals Cow Milk,pkt,41.5,6,249,2-4-2023
Doozy Cow Desi Ghee 500Ml,jar,480,2,960,2-4-2023
Doozy Desi Cow Milk,pkt,31.5,4,126,2-4-2023
Doozy Farms Paneer,pkt,74.25,6,445.5,2-4-2023
Asparagus,kg,1400,0.54,756,2-4-2023
Celery,kg,50,2,100,2-4-2023
Iceberg,kg,50,5,250,2-4-2023
Happy Banana,kg,52,15,780,2-4-2023
Dairy Naturals Cow Milk,pkt,41.5,6,249,2-4-2023
Doozy Cow Desi Ghee 500Ml,jar,480,2,960,2-4-2023
Doozy Dahi,jar,43,2,86,2-4-2023
Doozy Desi Cow Milk,pkt,31.5,6,189,2-4-2023
Happy Banana,kg,52,15,780,2-4-2023
Carrot,kg,20,10,200,2-4-2023
Broccoli,kg,40,10,400,2-4-2023
Ridge Gourd,kg,60,10,600,2-4-2023
Papaya,kg,40,15,600,2-4-2023
Ber,kg,83.33,18,1499.94,2-4-2023
Beans French,kg,40,5,200,2-4-2023
Red Globe,kg,375,6.4,2400,2-4-2023
Sweet Potato,kg,60,10,600,2-4-2023
Cauliflower,kg,18,10,180,2-4-2023
Mushroom,box,32,25,800,2-4-2023
Capsicum Green,kg,40,15,600,2-4-2023
Blueberry,box,200,12,2400,2-4-2023
Cucumber White,kg,50,10,500,2-4-2023
Beet Root,kg,25,10,250,2-4-2023
Bottle Gourd,kg,40,10,400,2-4-2023
Pomegranate,kg,164.61,24.3,4000.023,2-4-2023
Coriander,kg,20,3,60,2-4-2023
Bhindi,kg,100,5,500,2-4-2023
Zucchini Green,kg,30,5,150,2-4-2023
Palak,kg,15,10,150,2-4-2023
Methi,Bunch,8,10,80,2-4-2023
Bitter Gourd,kg,80,10,800,2-4-2023
Lemon,kg,80,10,800,2-4-2023
Tendor Coconut,pc,37.5,40,1500,2-4-2023
Tomato Himsona,kg,18.18,176,3199.68,2-4-2023
Round Gourd,kg,40,10,400,2-4-2023
Local Guava,kg,46.15,19.5,899.925,2-4-2023
Pineapple Rani,pc,75,10,750,2-4-2023
Kiwi Local,pc,26.67,30,800.1,2-4-2023
Saag,Bunch,12,10,120,2-4-2023
Himalayan Lion Apple,kg,184.21,9.5,1749.995,2-4-2023
Chappan Kaddu,kg,40,10,400,2-4-2023
LEMON GREEN,kg,80,5,400,2-4-2023
ACHARI RED CHILLI,kg,100,3,300,2-4-2023
KASHMIR APPLE,kg,130,20,2600,2-4-2023
Bajra Pinni,btl,174,10,1740,2-4-2023
Sapota,kg,72.22,18,1299.96,2-5-2023
Carrot,kg,26,10,260,2-5-2023
Green Peas,kg,35,20,700,2-5-2023
Ridge Gourd,kg,60,10,600,2-5-2023
Papaya,kg,40,15,600,2-5-2023
Beans French,kg,45,10,450,2-5-2023
Brinjal Black Round,kg,30,10,300,2-5-2023
Red Globe,kg,380.95,6.3,2399.985,2-5-2023
Sweet Potato,kg,60,10,600,2-5-2023
Cauliflower,kg,15,10,150,2-5-2023
Mint,kg,75,2,150,2-5-2023
Dragon Fruit,pc,69.44,18,1249.92,2-5-2023
Mushroom,box,32,50,1600,2-5-2023
Thomson Grapes,kg,90.43,9.4,850.042,2-5-2023
Spring Onion,kg,46.67,3,140.01,2-5-2023
Capsicum Green,kg,40,10,400,2-5-2023
Onion,kg,18.5,193,3570.5,2-5-2023
Shelled Sweetcorn,packet,15,10,150,2-5-2023
Sprouts Chana,box,18,5,90,2-5-2023
Cabbage Green,kg,10,10,100,2-5-2023
Cucumber White,kg,40,10,400,2-5-2023
Bottle Gourd,kg,40,10,400,2-5-2023
Pomegranate,kg,162.6,12.3,1999.98,2-5-2023
Coriander,kg,20,3,60,2-5-2023
Bhindi,kg,100,5,500,2-5-2023
Methi Sprouts,box,18,10,180,2-5-2023
Orange Valencia,kg,110.34,14.5,1599.93,2-5-2023
Apple Chinese Fuji,kg,281.08,18.5,5199.98,2-5-2023
Palak,kg,15,10,150,2-5-2023
Orange-Local,kg,97.66,25.6,2500.096,2-5-2023
Methi,Bunch,10,10,100,2-5-2023
Bitter Gourd,kg,80,5,400,2-5-2023
Tendor Coconut,pc,37.5,40,1500,2-5-2023
Sun Melon,kg,69.57,23,1600.11,2-5-2023
Tomato Himsona,kg,17.65,51,900.15,2-5-2023
Imported Babugosha,kg,196.85,12.7,2499.995,2-5-2023
Thai Guava,kg,90,10,900,2-5-2023
Pineapple Rani,pc,75,10,750,2-5-2023
Jacks Fruit,kg,47.62,10.5,500.01,2-5-2023
Kiwi Local,pc,26.67,30,800.1,2-5-2023
Saag,Bunch,15,10,150,2-5-2023
Turnip(Shalgam),kg,18,10,180,2-5-2023
Kinnow,kg,45.69,39.4,1800.186,2-5-2023
ACHARI RED CHILLI,kg,100,5,500,2-5-2023
Brown Bread,Slice,7.142,14,99.988,2-5-2023
Dairy Naturals Cow Milk,pkt,41.5,5,207.5,2-5-2023
Doozy Desi Cow Milk,pkt,31.5,5,157.5,2-5-2023
Doozy Farms Paneer,pkt,74.25,6,445.5,2-5-2023
Happy Banana,kg,52,15,780,2-5-2023
Dairy Naturals Cow Milk,pkt,41.5,4,166,2-5-2023
Doozy Dahi,jar,43,3,129,2-5-2023
Doozy Desi Cow Milk,pkt,31.5,4,126,2-5-2023
Happy Banana,kg,52,15,780,2-5-2023
Kinnow,kg,45,1800,81000,2-6-2023
Asparagus,kg,1400,1,1400,2-6-2023
Basil Italian,kg,180,1.5,270,2-6-2023
Celery,kg,50,2,100,2-6-2023
Iceberg,kg,50,5.2,260,2-6-2023
Lemon Leaves,kg,60,0.11,6.6,2-6-2023
Rocket Leaf,box,48,10,480,2-6-2023
Tomato Red Cherry,box,18,10,180,2-6-2023
Dairy Naturals Cow Milk,pkt,41.5,4,166,2-6-2023
Doozy Dahi,jar,43,4,172,2-6-2023
Doozy Desi Cow Milk,pkt,31.5,4,126,2-6-2023
Carrot,kg,25,10,250,2-6-2023
Green Peas,kg,35,10,350,2-6-2023
Papaya,kg,40,15,600,2-6-2023
Chilli Green,kg,45,4,180,2-6-2023
Brinjal Black Big,kg,19,10,190,2-6-2023
Potato,kg,8.93,112,1000.16,2-6-2023
Red Globe,kg,375,6.4,2400,2-6-2023
Cauliflower,kg,14,10,140,2-6-2023
Mint,kg,75,2,150,2-6-2023
Mushroom,box,32,25,800,2-6-2023
Capsicum Green,kg,40,10,400,2-6-2023
Blueberry,box,200,12,2400,2-6-2023
Apple Pink Lady,kg,191.49,9.4,1800.006,2-6-2023
Cucumber White,kg,45,10,450,2-6-2023
Beet Root,kg,30,10,300,2-6-2023
Palak,kg,15,10,150,2-6-2023
Methi,Bunch,12,5,60,2-6-2023
Lemon,kg,60,10,600,2-6-2023
Pineapple Rani,pc,75,10,750,2-6-2023
Kiwi Green 3Pc,box,86.11,18,1549.98,2-6-2023
CHINES GARLIC,kg,162.5,40,6500,2-6-2023
KASHMIR APPLE,kg,138,9.4,1297.2,2-6-2023
Happy Banana,kg,52,15,780,2-6-2023
Happy Banana,kg,52,15,780,2-6-2023
Dairy Naturals Cow Milk,pkt,41.5,6,249,2-6-2023
Doozy Cow Desi Ghee 500Ml,jar,480,2,960,2-6-2023
Doozy Dahi,jar,43,3,129,2-6-2023
Doozy Desi Cow Milk,pkt,31.5,4,126,2-6-2023
Brown Bread,Slice,7.142,14,99.988,2-6-2023
Sapota,kg,72.22,18,1299.96,2-7-2023
Carrot,kg,25,20,500,2-7-2023
Amla,kg,50,5,250,2-7-2023
Broccoli,kg,40,10,400,2-7-2023
Ridge Gourd,kg,60,10,600,2-7-2023
Papaya,kg,40,20,800,2-7-2023
Brinjal Black Big,kg,18,10,180,2-7-2023
Brinjal Black Round,kg,30,10,300,2-7-2023
Thai Longan,packet,462.96,2.7,1249.992,2-7-2023
Sweet Potato,kg,60,10,600,2-7-2023
Cauliflower,kg,16,10,160,2-7-2023
Mint,kg,75,2,150,2-7-2023
Mushroom,box,32,15,480,2-7-2023
Spring Onion,kg,40,4,160,2-7-2023
Shelled Sweetcorn,packet,15,10,150,2-7-2023
Blueberry,box,191.67,12,2300.04,2-7-2023
Apple Pink Lady,kg,181.82,18.7,3400.034,2-7-2023
Cucumber White,kg,50,10,500,2-7-2023
Babycorn,packet,24.17,60,1450.2,2-7-2023
Bottle Gourd,kg,35,10,350,2-7-2023
Pomegranate,kg,172,12.5,2150,2-7-2023
Muskmelon,kg,70.59,8.5,600.015,2-7-2023
Coriander,kg,16,5,80,2-7-2023
Orange Valencia,kg,103.45,14.5,1500.025,2-7-2023
Pumpkin,kg,40,10,400,2-7-2023
Zucchini Green,kg,30,5,150,2-7-2023
Ginger,kg,90,10,900,2-7-2023
Mosambi,kg,39.47,19,749.93,2-7-2023
Palak,kg,14,10,140,2-7-2023
Methi,Bunch,8,10,80,2-7-2023
Lemon,kg,17.65,51,900.15,2-7-2023
Tendor Coconut,pc,40,60,2400,2-7-2023
Tomato Himsona,kg,17.65,51,900.15,2-7-2023
Tenchi Pear,kg,320,12.5,4000,2-7-2023
Pineapple Rani,pc,80,20,1600,2-7-2023
Lotus Stem,kg,83.33,3,249.99,2-7-2023
Achari Green Chilly,kg,40,10,400,2-7-2023
South Pear,kg,300,13,3900,2-7-2023
Saag,Bunch,15,6,90,2-7-2023
Turnip(Shalgam),kg,20,10,200,2-7-2023
Barari Tunisian Dates(500Gm),box,187.5,12,2250,2-7-2023
Mushroom Loose,kg,115,10,1150,2-7-2023
AMERICAN CORN FROZEN,pkt,100,2,200,2-7-2023
Carrot,kg,25,10,250,2-8-2023
Amla,kg,60,5,300,2-8-2023
Green Peas,kg,40,10,400,2-8-2023
Broccoli,kg,40,10,400,2-8-2023
Ridge Gourd,kg,60,5,300,2-8-2023
Potato Baby,kg,30,20,600,2-8-2023
Papaya,kg,40,20,800,2-8-2023
Ber,kg,77.78,18,1400.04,2-8-2023
Chilli Green,kg,45,4,180,2-8-2023
Beans French,kg,45,10,450,2-8-2023
Thai Longan,packet,446.43,2.8,1250.004,2-8-2023
Mushroom,box,32,40,1280,2-8-2023
Capsicum Green,kg,40,20,800,2-8-2023
Blueberry,box,191.67,12,2300.04,2-8-2023
Cabbage Green,kg,12,10,120,2-8-2023
Cucumber White,kg,50,10,500,2-8-2023
Apple Granny Smith,kg,194.44,18,3499.92,2-8-2023
Water Melon Red,kg,23.68,38,899.84,2-8-2023
Bottle Gourd,kg,40,10,400,2-8-2023
Pomegranate,kg,162.6,24.6,3999.96,2-8-2023
Coriander,kg,16.67,3,50.01,2-8-2023
Bhindi,kg,100,5,500,2-8-2023
Pumpkin,kg,40,10,400,2-8-2023
Mosambi,kg,56.99,19.3,1099.907,2-8-2023
Palak,kg,12,10,120,2-8-2023
Methi,Bunch,8,10,80,2-8-2023
Bitter Gourd,kg,80,10,800,2-8-2023
Lemon,kg,80,10,800,2-8-2023
Tendor Coconut,pc,40,60,2400,2-8-2023
Tomato Himsona,kg,20,50,1000,2-8-2023
Zespri Kiwi Gold 3Pcs,box,200,12,2400,2-8-2023
Local Guava,kg,48,25,1200,2-8-2023
Pineapple Rani,pc,75,20,1500,2-8-2023
White Petha,kg,30,18,540,2-8-2023
Saag,Bunch,16,10,160,2-8-2023
Newzeeland Queen Apple,kg,274.73,18.2,5000.086,2-8-2023
Turnip(Shalgam),kg,24,10,240,2-8-2023
Black Grapes,kg,141.3,9.2,1299.96,2-8-2023
Chappan Kaddu,kg,40,10,400,2-8-2023
Mushroom Loose,kg,120,5,600,2-8-2023
ACHARI RED CHILLI,kg,100,10,1000,2-8-2023
BLACK CARROT,kg,80,5,400,2-8-2023
THAI GUAVA PINK,kg,120,10,1200,2-8-2023
GHERKINS SLICE JAR 720ML,jar,90,1,100.8,2-9-2023
Mixed Berries Frozen,kg,760.38,1,798.399,2-9-2023
AMERICAN CORN FROZEN,pkt,80,5,400,2-9-2023
Wheat Grass Box,box,90,6,540,2-9-2023
Microgreen Box,box,90,4,360,2-9-2023
Baby Spinach Box,box,80,2,160,2-9-2023
Salad Mix Box,box,90,6,540,2-9-2023
Hydroponic Tomato Cherry,box,62.5,16,1000,2-9-2023
Hydroponic Bok Choy,kg,200,2,400,2-9-2023
Hydroponic Parsley,kg,750,1,750,2-9-2023
Hydroponic Green Lettuce,kg,250,2,500,2-9-2023
Hydroponic Kale,pkt,75,10,750,2-9-2023
Hydroponic Tomato,kg,50,22,1100,2-9-2023
Hydroponic Yellow Candy,box,62.5,8,500,2-9-2023
Dairy Naturals Cow Milk,pkt,41.5,4,166,2-9-2023
Doozy Desi Cow Milk,pkt,31.5,4,126,2-9-2023
Happy Banana,kg,55,15,825,2-9-2023
Epigamia Greek Yogurt Blueberry 90Gm,box,41.9,5,245.12,2-9-2023
Epigamia Greek Yogurt Mango 90Gm,box,41.9,5,219.97,2-9-2023
Epigamia Greek Yogurt Natural,box,167.62,8,1408.01,2-9-2023
Epigamia Greek Yogurt Smoothie Blueberry,btl,60.95,4,255.99,2-9-2023
Epigamia Greek Yogurt Strawberry 90Gm,box,41.9,3,131.99,2-9-2023
Epigamia Greek Yogurt Strawberry Smoothie,btl,60.95,2,127.99,2-9-2023
Epigamia Wild Raspberry 90Gms,box,41.9,3,131.99,2-9-2023
Dairy Naturals Cow Milk,pkt,41.5,6,249,2-9-2023
Doozy Dahi,jar,43,4,172,2-9-2023
Doozy Desi Cow Milk,pkt,31.5,6,189,2-9-2023
Doozy Farms Paneer,pkt,74.25,6,445.5,2-9-2023
Happy Banana,kg,55,15,825,2-9-2023
Brown Bread,Slice,7.142,28,199.976,2-9-2023
Milk,ltr,1,60,60,2-9-2023
Carrot,kg,30,20,600,2-9-2023
Green Peas,kg,40,10,400,2-9-2023
Papaya,kg,40,15,600,2-9-2023
Potato,kg,7,300,2100,2-9-2023
Red Globe,kg,387.1,12.4,4800.04,2-9-2023
Cauliflower,kg,20,20,400,2-9-2023
Mint,kg,80,2,160,2-9-2023
Mushroom,box,30,25,750,2-9-2023
Capsicum Green,kg,40,10,400,2-9-2023
Onion,kg,20,809,16180,2-9-2023
Blueberry,box,191.67,12,2300.04,2-9-2023
Apple Pink Lady,kg,170,10,1700,2-9-2023
Cucumber White,kg,50,10,500,2-9-2023
Bottle Gourd,kg,40,5,200,2-9-2023
Pomegranate,kg,162.6,12.3,1999.98,2-9-2023
Coriander,kg,16,5,80,2-9-2023
Bhindi,kg,100,5,500,2-9-2023
Tomato Local,kg,14,125,1750,2-9-2023
Palak,kg,12,10,120,2-9-2023
Orange-Local,kg,119.05,21,2500.05,2-9-2023
Methi,Bunch,8,10,80,2-9-2023
Bitter Gourd,kg,80,10,800,2-9-2023
Lemon,kg,70,10,700,2-9-2023
Tendor Coconut,pc,37.5,20,750,2-9-2023
Round Gourd,kg,40,10,400,2-9-2023
Imported Red Big Cherry,gm,1240,2.5,3100,2-9-2023
Zespri Kiwi Gold 3Pcs,box,191.67,12,2300.04,2-9-2023
Local Guava,kg,78.13,24,1875.12,2-9-2023
Pineapple Rani,pc,75,10,750,2-9-2023
Saag,Bunch,14,10,140,2-9-2023
THAI GUAVA PINK,kg,165,10,1650,2-9-2023
KASHMIR APPLE,kg,134.02,19.4,2599.988,2-9-2023
Strawberry Fresh,box,45,550,24750,2-9-2023
Capsicum Red,kg,100,33.5,3350,2-9-2023
Capsicum Yellow,kg,100,27,2700,2-9-2023
EPIGAMIA GREEK YOGURT BANANA 110GM,jar,60.95,4,255.99,2-9-2023
Epigamia Greek Yogurt Blueberry 90Gm,box,41.9,3,147.07,2-9-2023
Epigamia Greek Yogurt Gy Mixed Berries,box,60.95,3,191.99,2-9-2023
Epigamia Greek Yogurt Mango 90Gm,box,41.9,3,131.99,2-9-2023
Epigamia Greek Yogurt Smoothie Alphonso Mango,btl,60.95,4,255.99,2-9-2023
Epigamia Greek Yogurt Smoothie Blueberry,btl,60.95,4,255.99,2-9-2023
Epigamia Greek Yogurt Strawberry 90Gm,box,41.9,3,131.99,2-9-2023
Epigamia Greek Yogurt Vanilla Bean 90Gms,box,41.9,3,131.99,2-9-2023
Epigamia Wild Raspberry 90Gms,box,41.9,3,131.99,2-9-2023
Dairy Naturals Cow Milk,pkt,41.5,6,249,2-10-2023
Doozy Desi Cow Milk,pkt,31.5,6,189,2-10-2023
Happy Banana,kg,55,15,825,2-10-2023
Brown Bread,Slice,7.142,14,99.988,2-10-2023
Dairy Naturals Cow Milk,pkt,41.5,4,166,2-10-2023
Doozy Dahi,jar,43,3,129,2-10-2023
Doozy Desi Cow Milk,pkt,31.5,6,189,2-10-2023
Doozy Farms Paneer,pkt,74.25,6,445.5,2-10-2023
Happy Banana,kg,55,15,825,2-10-2023
Carrot,kg,30,15,450,2-10-2023
Green Peas,kg,40,10,400,2-10-2023
Broccoli,kg,40,10,400,2-10-2023
Ridge Gourd,kg,70,10,700,2-10-2023
Papaya,kg,40,15,600,2-10-2023
Apple Royal Gala,kg,200,10,2000,2-10-2023
Chilli Green,kg,50,4,200,2-10-2023
Beans French,kg,45,8,360,2-10-2023
Cauliflower,kg,20,20,400,2-10-2023
Mint,kg,75,2,150,2-10-2023
Mushroom,box,32,25,800,2-10-2023
Spring Onion,kg,40,3,120,2-10-2023
Apple Pink Lady,kg,170,10,1700,2-10-2023
Radish White,kg,20,12,240,2-10-2023
Cucumber White,kg,50,10,500,2-10-2023
Beet Root,kg,35,10,350,2-10-2023
Water Melon Red,kg,20,20,400,2-10-2023
Pomegranate,kg,168,12.5,2100,2-10-2023
Coriander,kg,20,3,60,2-10-2023
Bhindi,kg,100,5,500,2-10-2023
Orange Valencia,kg,98.59,14.2,1399.978,2-10-2023
Pumpkin,kg,30,10,300,2-10-2023
Mosambi,kg,36.46,19.2,700.032,2-10-2023
Apple Red Delicious,kg,180.56,36,6500.16,2-10-2023
Palak,kg,12,10,120,2-10-2023
Methi,Bunch,7,10,70,2-10-2023
Lemon,kg,70,5,350,2-10-2023
Tendor Coconut,pc,40,40,1600,2-10-2023
Thai Guava,kg,80,10,800,2-10-2023
Pineapple Rani,pc,75,20,1500,2-10-2023
Achari Green Chilly,kg,40,10,400,2-10-2023
Saag,Bunch,12,10,120,2-10-2023
Chango Apple,kg,130,20,2600,2-10-2023
